,datetime,avg_price,volume
0,2019-12-30,62.5,140
1,2019-12-31,62.5,106
2,2020-01-01,60.0,128
3,2020-01-02,59.5,123
4,2020-01-03,59.5,136
5,2020-01-04,59.5,167
6,2020-01-05,60.0,144
7,2020-01-06,58.0,107
8,2020-01-07,60.0,103
9,2020-01-08,57.5,93
10,2020-01-09,55.0,90
11,2020-01-10,55.5,108
12,2020-01-11,53.0,115
13,2020-01-12,52.5,108
14,2020-01-13,54.5,99
15,2020-01-14,50.0,57
16,2020-01-15,57.0,88
17,2020-01-16,50.0,46
18,2020-01-17,48.5,80
19,2020-01-18,51.0,112
20,2020-01-19,48.5,109
21,2020-01-20,55.0,99
22,2020-01-21,56.5,91
23,2020-01-22,51.5,68
24,2020-01-23,52.5,70
25,2020-01-24,57.5,72
26,2020-01-25,58.0,87
27,2020-01-26,55.0,92
28,2020-01-27,55.0,79
29,2020-01-28,49.5,76
30,2020-01-29,50.0,90
31,2020-01-30,52.5,80
32,2020-01-31,48.5,61
33,2020-02-01,48.0,122
34,2020-02-02,50.0,90
35,2020-02-03,48.5,61
36,2020-02-04,49.0,85
37,2020-02-05,50.0,80
38,2020-02-06,50.0,81
39,2020-02-07,49.5,105
40,2020-02-08,50.0,76
41,2020-02-09,50.0,89
42,2020-02-10,51.0,83
43,2020-02-11,54.5,83
44,2020-02-12,52.5,87
45,2020-02-13,48.0,75
46,2020-02-14,48.0,110
47,2020-02-15,52.5,147
48,2020-02-16,57.0,138
49,2020-02-17,57.5,94
50,2020-02-18,59.5,80
51,2020-02-19,59.0,52
52,2020-02-20,59.5,77
53,2020-02-21,57.5,85
54,2020-02-22,55.0,91
55,2020-02-23,54.5,93
56,2020-02-24,56.5,69
57,2020-02-25,52.5,59
58,2020-02-26,50.0,63
59,2020-02-27,49.0,67
60,2020-02-28,50.0,53
61,2020-02-29,47.0,95
62,2020-03-01,48.5,81
63,2020-03-02,50.0,72
64,2020-03-03,49.0,55
65,2020-03-04,50.0,65
66,2020-03-05,50.0,53
67,2020-03-06,50.0,69
68,2020-03-07,52.5,150
69,2020-03-08,56.5,137
70,2020-03-09,55.0,110
71,2020-03-10,52.5,87
72,2020-03-11,50.5,85
73,2020-03-12,50.0,72
74,2020-03-13,52.0,120
75,2020-03-14,49.5,137
76,2020-03-15,50.0,117
77,2020-03-16,50.0,96
78,2020-03-17,48.5,66
79,2020-03-18,49.0,85
80,2020-03-19,50.0,107
81,2020-03-20,48.5,67
82,2020-03-21,48.5,77
83,2020-03-22,45.0,135
84,2020-03-23,44.0,120
85,2020-03-24,45.0,73
86,2020-03-25,44.5,109
87,2020-03-26,48.5,64
88,2020-03-27,46.5,98
